Date,Product,Region,Sales,Customer_Age,Customer_Gender,Customer_Satisfaction
2022-01-01,Widget C,South,786,26,Male,2.87440724048604
2022-01-02,Widget D,East,850,29,Male,3.36520459569298
2022-01-03,Widget A,North,871,40,Female,4.54736361132643
2022-01-04,Widget C,South,464,31,Male,4.55542039357368
2022-01-05,Widget C,South,262,50,Female,3.98293493472544
2022-01-06,Widget D,East,147,35,Female,1.14062796819401
2022-01-07,Widget A,North,610,66,Male,3.30028167634166
2022-01-08,Widget A,South,428,58,Male,4.14633388332603
2022-01-09,Widget C,West,939,26,Male,1.06915217905345
2022-01-10,Widget B,West,215,40,Male,3.19873845462631
2022-01-11,Widget C,West,948,27,Female,4.43105658314412
2022-01-12,Widget C,North,436,36,Male,2.89640830336907
2022-01-13,Widget C,South,980,64,Male,1.01642481158979
2022-01-14,Widget C,West,836,22,Female,1.04405343334243
2022-01-15,Widget D,North,963,64,Female,2.666544149655
2022-01-16,Widget A,West,939,69,Female,1.62003466966702
2022-01-17,Widget D,East,246,40,Female,3.65780262837304
2022-01-18,Widget D,South,674,47,Male,3.83519705962462
2022-01-19,Widget D,South,905,42,Male,1.71151918184251
2022-01-20,Widget C,North,422,45,Female,4.55413315409794
2022-01-21,Widget B,North,542,51,Female,2.7676313799157
2022-01-22,Widget A,South,936,62,Male,1.5713836303677
2022-01-23,Widget B,West,112,65,Male,4.05700639227758
2022-01-24,Widget D,West,593,64,Male,4.15989800006709
2022-01-25,Widget D,East,800,42,Male,3.55718189066183
2022-01-26,Widget B,West,386,27,Male,4.41386221281021
2022-01-27,Widget B,North,819,31,Female,3.94949188812269
2022-01-28,Widget B,North,213,59,Female,4.52882294890796
2022-01-29,Widget D,West,579,63,Female,2.73555219394192
2022-01-30,Widget D,North,121,47,Female,3.99038851239777
2022-01-31,Widget A,South,448,58,Male,4.99900625371618
2022-02-01,Widget A,South,825,42,Female,3.89972479007848
2022-02-02,Widget D,West,782,31,Male,1.45673512094853
2022-02-03,Widget B,South,934,52,Male,3.07327488971673
2022-02-04,Widget B,South,665,69,Male,3.34939116497211
2022-02-05,Widget A,East,909,65,Male,1.69684270028556
2022-02-06,Widget D,East,419,51,Male,4.85156653671215
2022-02-07,Widget A,South,225,27,Male,1.70231911053847
2022-02-08,Widget A,West,376,52,Male,1.71023167885289
2022-02-09,Widget C,East,303,28,Female,4.66066855189822
2022-02-10,Widget C,North,293,28,Male,2.86082173248668
2022-02-11,Widget C,North,780,38,Female,1.25275311709806
2022-02-12,Widget B,North,763,38,Female,3.39274999975411
2022-02-13,Widget D,West,646,39,Male,3.40730539453219
2022-02-14,Widget D,South,795,62,Male,1.25800303474625
2022-02-15,Widget D,North,385,24,Female,4.89008998253465
2022-02-16,Widget D,West,156,34,Female,3.1761198611783
2022-02-17,Widget C,East,833,19,Female,3.23918288871906
2022-02-18,Widget B,South,402,29,Female,3.08046165800958
2022-02-19,Widget B,East,262,59,Male,3.44292711857848
2022-02-20,Widget C,West,118,35,Male,2.05719901109502
2022-02-21,Widget B,North,469,28,Male,2.14896539189936
2022-02-22,Widget C,North,363,33,Female,3.04535635918453
2022-02-23,Widget D,West,893,66,Male,4.22674341905432
2022-02-24,Widget C,North,212,68,Female,1.19945830597672
2022-02-25,Widget D,South,587,35,Male,3.41361684888098
